"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 18 00:37:12 GMT 2024","Sun Feb 18 00:37:14 GMT 2024","2071","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginBE","Error message should displayed if not valid credentials were filled out",""
"passed","Sun Feb 18 00:37:15 GMT 2024","Sun Feb 18 00:37:23 GMT 2024","7368","QaseIO All Test","Thread #2","tests.CaseTest","tests.CaseTest","createNewCaseWithAllFields","The user can create new and fill out all fields",""
"passed","Sun Feb 18 00:37:21 GMT 2024","Sun Feb 18 00:37:22 GMT 2024","1816","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginFE","Error message should displayed if required fields are empty",""
"passed","Sun Feb 18 00:37:26 GMT 2024","Sun Feb 18 00:37:31 GMT 2024","5420","QaseIO All Test","Thread #1","tests.ProjectTest","tests.ProjectTest","createNewProject","The user can create new project",""
"passed","Sun Feb 18 00:37:23 GMT 2024","Sun Feb 18 00:37:25 GMT 2024","2131","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginFE","Error message should displayed if required fields are empty",""
"passed","Sun Feb 18 00:37:15 GMT 2024","Sun Feb 18 00:37:17 GMT 2024","2559","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginBE","Error message should displayed if not valid credentials were filled out",""
"passed","Sun Feb 18 00:37:04 GMT 2024","Sun Feb 18 00:37:15 GMT 2024","11227","QaseIO All Test","Thread #2","tests.CaseTest","tests.CaseTest","createNewCaseOnCreationCasePage","The user can create new Test Case on case creation page",""
"passed","Sun Feb 18 00:37:31 GMT 2024","Sun Feb 18 00:37:38 GMT 2024","7319","QaseIO All Test","Thread #2","tests.CaseTest","tests.CaseTest","deleteCase","The user can delete test case on project page",""
"passed","Sun Feb 18 00:37:18 GMT 2024","Sun Feb 18 00:37:20 GMT 2024","2088","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginBE","Error message should displayed if not valid credentials were filled out",""
"passed","Sun Feb 18 00:37:32 GMT 2024","Sun Feb 18 00:37:38 GMT 2024","6167","QaseIO All Test","Thread #1","tests.SuiteTest","tests.SuiteTest","createNewSuite","The user can create new suite on project page",""
"passed","Sun Feb 18 00:37:04 GMT 2024","Sun Feb 18 00:37:11 GMT 2024","7660","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","loginWithValidCredentials","The user should login with the correct credentials",""
"passed","Sun Feb 18 00:37:23 GMT 2024","Sun Feb 18 00:37:30 GMT 2024","6636","QaseIO All Test","Thread #2","tests.CaseTest","tests.CaseTest","createNewCasesOnProjectPage","The user can create new Test Case on project page",""
